@RELATION music_speech
@ATTRIBUTE RMS_MEAN NUMERIC
@ATTRIBUTE ZCR_MEAN NUMERIC
@ATTRIBUTE SC_MEAN NUMERIC
@ATTRIBUTE SRO_MEAN NUMERIC
@ATTRIBUTE SFM_MEAN NUMERIC
@ATTRIBUTE RMS_STD NUMERIC
@ATTRIBUTE ZCR_STD NUMERIC
@ATTRIBUTE SC_STD NUMERIC
@ATTRIBUTE SRO_STD NUMERIC
@ATTRIBUTE SFM_STD NUMERIC
@ATTRIBUTE class {music,speech}
@DATA
0.057447,0.191595,128.656296,239.404651,0.329993,0.027113,0.036597,13.206525,27.957121,0.087828,music
0.026583,0.039416,35.920625,63.362016,0.070470,0.013284,0.015575,5.640378,12.961779,0.017258,music
0.060007,0.098235,73.129325,131.306977,0.182494,0.019620,0.020749,14.131101,30.600760,0.064698,music
0.098869,0.036062,53.438319,107.152713,0.157699,0.031067,0.043212,33.812281,82.823015,0.090198,music
0.069744,0.098689,95.611158,197.720155,0.329049,0.018830,0.063787,35.080648,77.288045,0.135042,music
0.050353,0.127820,102.538567,180.851938,0.314582,0.027995,0.041827,16.085316,40.558530,0.103374,music
0.124951,0.117169,106.089502,213.786822,0.353036,0.057442,0.054101,33.278581,72.311377,0.114736,music
0.025565,0.073377,82.361230,175.502326,0.299725,0.007574,0.047484,32.291407,74.902937,0.124533,music
0.091495,0.066588,86.379398,197.724806,0.289009,0.037544,0.037583,28.741038,76.303968,0.121842,music
0.119757,0.061057,45.997734,80.243411,0.079825,0.054124,0.015538,7.492072,17.200765,0.020570,music
0.130499,0.115189,88.258727,160.336434,0.239095,0.067776,0.037558,22.648724,48.053507,0.089721,music
0.082164,0.041259,41.410022,87.674419,0.086466,0.028468,0.019763,11.220843,31.806723,0.024256,music
0.146923,0.106537,101.167206,210.775194,0.335107,0.061695,0.066444,38.043928,75.237066,0.135723,music
0.036574,0.052586,51.599799,102.651938,0.149843,0.018262,0.021937,10.143240,24.212988,0.030783,music
0.044435,0.061887,50.228331,86.657364,0.133103,0.016192,0.031918,19.484592,46.246681,0.053432,music
0.040517,0.047729,57.906300,112.520155,0.193639,0.022817,0.030507,22.741331,59.733335,0.097914,music
0.045283,0.055289,47.767703,86.517829,0.114114,0.030390,0.041203,24.210680,49.315549,0.056681,music
0.089799,0.100845,78.459524,143.932558,0.211189,0.043167,0.058986,17.553374,25.375706,0.063260,music
0.139278,0.064621,74.484610,155.504651,0.264095,0.038330,0.022376,22.521904,84.700624,0.102300,music
0.062247,0.035991,36.920164,51.334109,0.100322,0.029358,0.029610,20.682239,45.806460,0.064980,music
0.056004,0.094702,88.058474,185.034884,0.293046,0.020667,0.036666,24.033402,53.091039,0.114203,music
0.061058,0.071356,53.185797,95.718605,0.114373,0.035781,0.028044,17.663706,40.103054,0.050811,music
0.059777,0.070002,88.672832,201.976744,0.313604,0.027943,0.055849,36.455043,79.112682,0.106118,music
0.081083,0.067571,78.180349,168.452713,0.256635,0.050475,0.050797,33.995255,79.897811,0.108235,music
0.071279,0.062281,51.645123,104.099225,0.084093,0.036038,0.035221,16.453685,32.221343,0.022553,music
0.064750,0.130596,95.683354,166.264341,0.249830,0.039012,0.047871,15.077599,42.270070,0.100886,music
0.037104,0.112083,112.274966,248.675969,0.414108,0.007465,0.036583,22.678763,49.324936,0.091951,music
0.054408,0.071918,115.719979,303.896899,0.404686,0.019570,0.037699,29.386802,60.805608,0.093304,music
0.020384,0.056604,113.809040,297.058140,0.340276,0.011287,0.038606,24.861762,63.457333,0.076372,music
0.102628,0.053822,69.447291,141.172093,0.223029,0.028171,0.027398,37.675918,89.964971,0.153389,music
0.079834,0.092437,81.289396,151.399225,0.224199,0.035747,0.034484,10.721579,11.689835,0.043460,music
0.187108,0.132638,106.679085,235.113178,0.338679,0.058433,0.053882,23.014534,51.595276,0.082146,music
0.088784,0.115076,112.262940,237.635659,0.372146,0.041234,0.079076,44.491142,89.592561,0.152085,music
0.038562,0.030199,29.760668,40.933333,0.079907,0.016012,0.007784,6.551116,19.595369,0.029269,music
0.090733,0.093867,72.780579,146.230233,0.190454,0.019833,0.051205,19.922686,37.879968,0.040816,music
0.070146,0.113335,96.932050,177.543411,0.291304,0.039975,0.072355,32.421815,65.498068,0.098296,music
0.044617,0.097470,106.898193,233.248062,0.385439,0.010620,0.040088,22.148053,49.818155,0.092463,music
0.055329,0.083309,78.047038,151.315504,0.249777,0.019290,0.033664,20.681818,58.903841,0.104051,music
0.106636,0.215092,122.226710,173.993023,0.279772,0.019513,0.019650,7.734714,15.439026,0.042852,music
0.072957,0.088107,78.195959,150.148062,0.229910,0.033107,0.024848,8.150721,10.671948,0.038692,music
0.092418,0.092636,74.752704,128.730233,0.190790,0.031137,0.028160,7.380745,10.835633,0.033374,music
0.123358,0.162106,96.676897,149.039535,0.208136,0.071838,0.029617,8.647615,21.673278,0.065929,music
0.021790,0.065838,72.139902,156.290698,0.256095,0.006850,0.023216,16.570661,42.189991,0.093754,music
0.059659,0.081162,70.831524,131.985271,0.196421,0.025729,0.066420,40.097473,86.814061,0.105588,music
0.140262,0.063971,67.811118,144.925581,0.204595,0.078146,0.043320,17.092592,40.276822,0.050723,music
0.127979,0.064931,66.328256,138.025581,0.176778,0.066189,0.036170,19.746469,56.517996,0.070650,music
0.040073,0.079864,66.197425,140.207752,0.184140,0.011535,0.031841,23.966853,71.013877,0.099820,music
0.045005,0.043164,56.669190,105.464341,0.170402,0.032526,0.025393,19.128465,48.593176,0.082369,music
0.084420,0.059280,74.146294,163.382171,0.296311,0.035672,0.021086,18.484856,55.566334,0.085257,music
0.156797,0.079956,114.595984,270.278295,0.376027,0.040478,0.050719,39.555712,65.894872,0.090624,music
0.119555,0.107071,107.659383,235.624806,0.372472,0.039285,0.032511,27.421718,69.271964,0.115947,music
0.089580,0.072681,59.501362,116.383721,0.126797,0.049489,0.024761,13.583819,36.587191,0.047925,music
0.090585,0.081798,73.825474,138.260465,0.214311,0.058378,0.051958,17.764311,34.147678,0.077537,music
0.110340,0.071194,61.879191,124.856589,0.172454,0.030562,0.027155,16.826754,44.165057,0.075953,music
0.081177,0.137273,115.047526,245.393798,0.394932,0.030629,0.061717,35.272528,64.665412,0.132643,music
0.088932,0.123555,111.440362,225.351163,0.389041,0.025727,0.044744,31.714286,69.464318,0.142606,music
0.055717,0.093987,94.576835,208.291473,0.343719,0.009958,0.042003,30.174432,69.760478,0.124245,music
0.061909,0.150552,110.262837,204.964341,0.357973,0.010098,0.026526,21.614755,63.234254,0.110712,music
0.077556,0.060260,69.584288,142.875969,0.222950,0.034445,0.028429,23.410840,67.927619,0.093226,music
0.077980,0.088017,100.592338,220.290698,0.346635,0.027431,0.036141,22.412335,48.975995,0.086381,music
0.091886,0.095904,90.694211,179.212403,0.333239,0.019694,0.026827,19.039627,53.829733,0.105279,music
0.083275,0.098018,87.678736,183.679070,0.257789,0.035334,0.074547,44.573526,94.931232,0.125899,music
0.074757,0.083413,55.783688,99.041085,0.101850,0.028287,0.022338,10.036113,23.153295,0.027466,music
0.066423,0.072570,62.109331,121.106977,0.198342,0.042985,0.028155,26.304126,66.481828,0.125513,music
0.026803,0.043242,76.861616,164.187597,0.272966,0.017176,0.081933,52.009145,103.172545,0.137204,speech
0.047531,0.073270,86.125272,176.282946,0.300057,0.029838,0.064000,37.674546,71.094182,0.127933,speech
0.061423,0.095145,102.295152,201.206977,0.312276,0.033804,0.088713,51.011600,89.991721,0.145563,speech
0.025459,0.152875,126.519584,261.820155,0.466109,0.029227,0.083192,38.188862,72.145311,0.148248,speech
0.042081,0.129915,123.573966,257.303876,0.437022,0.047186,0.106987,50.444189,92.178588,0.166513,speech
0.022662,0.081779,77.988315,143.405426,0.203630,0.014031,0.062941,36.414860,65.760612,0.127936,speech
0.070566,0.086438,76.387526,140.130233,0.201351,0.050519,0.062312,27.262901,51.202381,0.102081,speech
0.069571,0.083040,92.865480,193.834884,0.308915,0.054296,0.085931,45.421214,91.834279,0.155511,speech
