@RELATION music_speech
@ATTRIBUTE BIN_A_MEAN NUMERIC
@ATTRIBUTE BIN_B_MEAN NUMERIC
@ATTRIBUTE BIN_C_MEAN NUMERIC
@ATTRIBUTE BIN_D_MEAN NUMERIC
@ATTRIBUTE BIN_E_MEAN NUMERIC
@ATTRIBUTE BIN_F_MEAN NUMERIC
@ATTRIBUTE BIN_G_MEAN NUMERIC
@ATTRIBUTE BIN_H_MEAN NUMERIC
@ATTRIBUTE BIN_I_MEAN NUMERIC
@ATTRIBUTE BIN_J_MEAN NUMERIC
@ATTRIBUTE BIN_K_MEAN NUMERIC
@ATTRIBUTE BIN_L_MEAN NUMERIC
@ATTRIBUTE BIN_M_MEAN NUMERIC
@ATTRIBUTE BIN_N_MEAN NUMERIC
@ATTRIBUTE BIN_O_MEAN NUMERIC
@ATTRIBUTE BIN_P_MEAN NUMERIC
@ATTRIBUTE BIN_Q_MEAN NUMERIC
@ATTRIBUTE BIN_R_MEAN NUMERIC
@ATTRIBUTE BIN_S_MEAN NUMERIC
@ATTRIBUTE BIN_T_MEAN NUMERIC
@ATTRIBUTE BIN_U_MEAN NUMERIC
@ATTRIBUTE BIN_V_MEAN NUMERIC
@ATTRIBUTE BIN_W_MEAN NUMERIC
@ATTRIBUTE BIN_X_MEAN NUMERIC
@ATTRIBUTE BIN_Y_MEAN NUMERIC
@ATTRIBUTE BIN_Z_MEAN NUMERIC
@ATTRIBUTE BIN_A_STD NUMERIC
@ATTRIBUTE BIN_B_STD NUMERIC
@ATTRIBUTE BIN_C_STD NUMERIC
@ATTRIBUTE BIN_D_STD NUMERIC
@ATTRIBUTE BIN_E_STD NUMERIC
@ATTRIBUTE BIN_F_STD NUMERIC
@ATTRIBUTE BIN_G_STD NUMERIC
@ATTRIBUTE BIN_H_STD NUMERIC
@ATTRIBUTE BIN_I_STD NUMERIC
@ATTRIBUTE BIN_J_STD NUMERIC
@ATTRIBUTE BIN_K_STD NUMERIC
@ATTRIBUTE BIN_L_STD NUMERIC
@ATTRIBUTE BIN_M_STD NUMERIC
@ATTRIBUTE BIN_N_STD NUMERIC
@ATTRIBUTE BIN_O_STD NUMERIC
@ATTRIBUTE BIN_P_STD NUMERIC
@ATTRIBUTE BIN_Q_STD NUMERIC
@ATTRIBUTE BIN_R_STD NUMERIC
@ATTRIBUTE BIN_S_STD NUMERIC
@ATTRIBUTE BIN_T_STD NUMERIC
@ATTRIBUTE BIN_U_STD NUMERIC
@ATTRIBUTE BIN_V_STD NUMERIC
@ATTRIBUTE BIN_W_STD NUMERIC
@ATTRIBUTE BIN_X_STD NUMERIC
@ATTRIBUTE BIN_Y_STD NUMERIC
@ATTRIBUTE BIN_Z_STD NUMERIC
@ATTRIBUTE class {music,speech}
@DATA
28.708511,-17.355278,-9.942597,-2.267711,-3.613945,-1.841865,-1.830162,-0.716736,-0.224701,1.260856,0.765094,0.671579,0.824467,0.115373,1.242681,0.797381,0.171523,0.458181,-0.261787,0.059806,-0.835277,-0.447999,0.778775,-0.069492,-0.588988,-0.127896,8.772484,2.705252,2.150347,1.792547,1.707290,1.278328,1.814141,1.239340,1.115911,0.977338,1.070458,1.173827,1.020276,1.046357,1.106728,1.137496,1.044631,0.932664,0.827303,1.030429,1.061445,0.983513,1.320594,0.682899,1.220700,0.910383,music
-22.508744,6.396023,-4.884939,-4.392880,-0.358396,-2.649728,-2.416766,-1.570643,-2.247374,-0.437892,-0.179711,0.366052,-0.818106,-0.310343,-0.028031,0.024539,0.174811,0.007854,0.300697,-0.292328,0.032223,0.145685,0.305981,-0.177446,-0.194119,-0.055143,12.148789,2.830896,3.755346,1.418400,1.714001,1.588377,1.307446,1.187804,1.117567,1.201049,1.309994,1.237992,1.207415,1.006892,1.197910,0.838671,0.875637,0.813585,0.871454,0.761136,0.716398,0.744101,0.752181,0.673119,0.669928,0.557677,music
21.584351,-4.785310,-12.716433,-4.828172,-5.831304,-3.270096,-3.104359,-2.450256,-2.251823,-1.121706,-0.702558,0.206888,-0.264565,-0.032792,-0.174930,0.315287,0.176661,0.458051,0.085394,0.180896,0.245580,0.216095,0.023977,0.118977,-0.140095,-0.120486,11.448338,4.291869,1.712591,1.373427,0.922246,0.863910,0.764294,0.810051,0.838796,0.788090,0.805170,0.910105,0.741763,0.731197,0.670762,0.708511,0.642934,0.675741,0.643601,0.660004,0.593034,0.595718,0.583290,0.459679,0.768719,0.655736,music
3.966033,-6.518817,1.796620,6.038402,1.826657,2.498079,0.970017,2.057271,0.058976,0.320320,0.304467,-0.280182,-0.632998,-0.153804,-0.463320,-0.197443,-0.428695,-0.014081,-0.138656,-0.090354,-0.391296,-0.488847,-0.508173,-0.328206,-0.220030,-0.195005,18.642089,6.601765,5.267849,3.173479,2.633876,1.811320,2.157341,1.712749,1.702927,1.587228,1.804706,1.235970,1.175870,1.179036,1.002144,0.938919,1.047150,1.056716,0.942214,0.744199,0.736002,0.754629,0.682060,0.674408,0.692877,0.721992,music
25.465121,-10.759791,-2.450197,0.340315,-1.689698,-0.119461,-0.102161,-0.016838,-0.364158,0.379957,0.177794,0.892170,0.081630,0.337947,-0.106819,-0.129780,-0.065332,0.191785,-0.085434,0.087603,-0.070694,-0.078781,-0.093454,-0.213169,-0.008933,0.106395,11.270680,5.865769,5.728065,2.918523,2.320234,1.929620,1.757334,1.876891,1.484351,1.333824,1.218347,1.324296,1.451382,1.308749,1.159883,1.104447,1.082767,1.019923,0.973951,0.942028,0.787033,0.876620,0.887225,0.744262,0.769893,0.672392,music
18.644317,-12.058211,-10.914272,-2.052183,-0.039064,-5.004441,-3.504592,-2.080690,-2.512131,0.229048,0.269572,1.421736,1.712563,1.136639,1.472317,1.334731,0.801464,-0.236490,0.481246,-0.344523,-0.369689,0.206813,0.081185,0.153720,-0.105447,0.064991,9.513706,2.784115,3.475130,1.765735,1.359239,2.272012,1.258871,1.379286,1.404566,0.861651,0.961377,0.870653,0.915396,0.953020,0.778302,0.881566,0.774379,0.798136,0.783437,0.741441,0.819195,0.597564,0.509478,0.523161,0.579413,0.667058,music
43.649418,-10.704966,-3.821829,-0.038882,1.260750,-1.639897,-0.815427,-0.374303,-0.287141,0.724662,-0.272738,-0.007921,0.635184,0.250565,0.404821,0.281936,0.139392,0.463552,-0.326025,-0.456929,-0.134088,0.000542,-0.295845,0.105346,-0.029096,-0.094405,15.020454,4.730969,3.454153,2.518586,1.929057,2.213790,1.767762,1.278261,1.306871,1.422539,1.210775,1.207680,1.071949,0.979321,1.014930,0.893790,0.855536,0.907960,0.801185,0.820771,0.833976,0.824352,0.777012,0.609183,0.760222,0.734952,music
-0.111219,-8.654543,-2.398184,-0.144674,-1.125448,-0.666142,-0.344163,0.584359,0.079709,0.221794,-0.425516,0.028845,-0.481803,-0.202289,-0.255951,0.618389,0.506035,-0.089828,-0.367537,0.152102,-0.017198,-0.154935,-0.047689,0.123546,-0.018211,-0.071784,20.984225,5.171035,3.806873,2.602174,2.082163,1.499002,1.409435,1.557841,1.405551,1.083796,0.939577,1.051813,1.093844,0.935628,1.142143,0.939117,0.821331,0.711417,0.677664,0.782270,0.660243,0.669482,0.662249,0.586139,0.679761,0.493682,music
26.139110,-9.713765,-1.351037,1.793917,0.858374,0.065410,-0.779999,0.864860,-0.306714,1.037597,0.451065,0.796179,0.915907,0.066108,0.822148,0.523742,0.505968,0.114891,-0.189589,0.345235,-0.137981,0.010597,-0.033247,-0.053665,-0.171030,-0.087680,14.800778,4.202388,3.568014,2.032117,2.231347,1.487606,1.739653,1.413285,1.253210,1.379428,1.379076,1.211507,1.148817,1.074314,1.011854,0.925135,1.078187,0.965487,1.025046,0.902443,0.833354,0.884039,0.950882,0.653995,0.702108,0.793067,music
15.213901,5.057913,-8.735103,-2.499257,-2.267908,-3.421118,-3.133801,-2.385983,-1.754926,-0.219820,-0.746109,-1.108461,-1.148129,-1.021960,-0.798437,0.063465,-0.078815,-0.249506,-0.570816,-0.593442,0.001695,-0.310142,-0.466293,-0.027570,0.100000,-0.026886,16.268963,2.861342,2.540377,2.130531,1.590370,1.454944,1.429298,1.371566,1.581645,1.919859,1.899975,2.031555,1.966178,1.634390,1.533662,1.790645,1.579530,0.948465,0.976159,1.002837,1.101724,1.055145,0.912260,0.861282,1.165503,0.934941,music
