@RELATION music_speech
@ATTRIBUTE RMS_MEAN_TIME NUMERIC
@ATTRIBUTE PAR_MEAN_TIME NUMERIC
@ATTRIBUTE ZCR_MEAN_TIME NUMERIC
@ATTRIBUTE MAD_MEAN_TIME NUMERIC
@ATTRIBUTE MEAN_AD_MEAN_TIME NUMERIC
@ATTRIBUTE RMS_STD_TIME NUMERIC
@ATTRIBUTE PAR_STD_TIME NUMERIC
@ATTRIBUTE ZCR_STD_TIME NUMERIC
@ATTRIBUTE MAD_STD_TIME NUMERIC
@ATTRIBUTE MEAN_AD_STD_TIME NUMERIC
@ATTRIBUTE SC_MEAN_SPECTRAL NUMERIC
@ATTRIBUTE SRO_MEAN_SPECTRAL NUMERIC
@ATTRIBUTE SFM_MEAN_SPECTRAL NUMERIC
@ATTRIBUTE PARFFT_MEAN_SPECTRAL NUMERIC
@ATTRIBUTE FLUX_MEAN_SPECTRAL NUMERIC
@ATTRIBUTE SC_STD_SPECTRAL NUMERIC
@ATTRIBUTE SRO_STD_SPECTRAL NUMERIC
@ATTRIBUTE SFM_STD_SPECTRAL NUMERIC
@ATTRIBUTE PARFFT_STD_SPECTRAL NUMERIC
@ATTRIBUTE FLUX_STD_SPECTRAL NUMERIC
@ATTRIBUTE MFCC_0 NUMERIC
@ATTRIBUTE MFCC_1 NUMERIC
@ATTRIBUTE MFCC_2 NUMERIC
@ATTRIBUTE MFCC_3 NUMERIC
@ATTRIBUTE MFCC_4 NUMERIC
@ATTRIBUTE MFCC_5 NUMERIC
@ATTRIBUTE MFCC_6 NUMERIC
@ATTRIBUTE MFCC_7 NUMERIC
@ATTRIBUTE MFCC_8 NUMERIC
@ATTRIBUTE MFCC_9 NUMERIC
@ATTRIBUTE MFCC_10 NUMERIC
@ATTRIBUTE MFCC_11 NUMERIC
@ATTRIBUTE MFCC_12 NUMERIC
@ATTRIBUTE MFCC_13 NUMERIC
@ATTRIBUTE MFCC_14 NUMERIC
@ATTRIBUTE MFCC_15 NUMERIC
@ATTRIBUTE MFCC_16 NUMERIC
@ATTRIBUTE MFCC_17 NUMERIC
@ATTRIBUTE MFCC_18 NUMERIC
@ATTRIBUTE MFCC_19 NUMERIC
@ATTRIBUTE MFCC_20 NUMERIC
@ATTRIBUTE MFCC_21 NUMERIC
@ATTRIBUTE MFCC_22 NUMERIC
@ATTRIBUTE MFCC_23 NUMERIC
@ATTRIBUTE MFCC_24 NUMERIC
@ATTRIBUTE MFCC_25 NUMERIC
@ATTRIBUTE MFCC_26 NUMERIC
@ATTRIBUTE MFCC_27 NUMERIC
@ATTRIBUTE MFCC_28 NUMERIC
@ATTRIBUTE MFCC_29 NUMERIC
@ATTRIBUTE MFCC_30 NUMERIC
@ATTRIBUTE MFCC_31 NUMERIC
@ATTRIBUTE MFCC_32 NUMERIC
@ATTRIBUTE MFCC_33 NUMERIC
@ATTRIBUTE MFCC_34 NUMERIC
@ATTRIBUTE MFCC_35 NUMERIC
@ATTRIBUTE MFCC_36 NUMERIC
@ATTRIBUTE MFCC_37 NUMERIC
@ATTRIBUTE MFCC_38 NUMERIC
@ATTRIBUTE MFCC_39 NUMERIC
@ATTRIBUTE MFCC_40 NUMERIC
@ATTRIBUTE MFCC_41 NUMERIC
@ATTRIBUTE MFCC_42 NUMERIC
@ATTRIBUTE MFCC_43 NUMERIC
@ATTRIBUTE MFCC_44 NUMERIC
@ATTRIBUTE MFCC_45 NUMERIC
@ATTRIBUTE MFCC_46 NUMERIC
@ATTRIBUTE MFCC_47 NUMERIC
@ATTRIBUTE MFCC_48 NUMERIC
@ATTRIBUTE MFCC_49 NUMERIC
@ATTRIBUTE MFCC_50 NUMERIC
@ATTRIBUTE MFCC_51 NUMERIC
@ATTRIBUTE class {music,speech}

@DATA
0.057447,3.234547,0.191595,0.037308,0.044607,0.027113,0.397827,0.036597,0.018317,0.021898,128.656296,239.404651,0.329993,9.164712,65.645735,13.206525,27.957121,0.087828,1.748588,45.773579,28.673854,-17.388721,-9.980402,-2.265446,-3.578003,-1.781931,-1.780522,-0.656157,-0.192547,1.218473,0.601333,0.504222,0.789484,0.28115,1.454657,0.903167,0.105897,0.338741,-0.356113,0.026199,-0.850752,-0.431026,0.823144,-0.007344,-0.552704,-0.117158,8.763212,2.707517,2.153112,1.792814,1.690397,1.294014,1.812385,1.237114,1.105976,0.977342,1.059933,1.175575,1.01891,1.012054,1.117151,1.155783,1.03983,0.92115,0.829817,1.045502,1.065536,0.96414,1.31034,0.685613,1.227606,0.912779,music
0.026583,2.590328,0.039416,0.016488,0.018977,0.013284,0.384978,0.015575,0.011143,0.012273,35.920625,63.362016,0.07047,14.030788,9.253576,5.640378,12.961779,0.017258,2.971727,11.300829,-22.508474,6.386025,-4.934184,-4.403072,-0.329782,-2.596037,-2.396136,-1.536402,-2.211463,-0.439255,-0.30065,0.216035,-0.860508,-0.167477,0.151892,0.093004,0.096534,-0.088098,0.252916,-0.301179,0.014245,0.149922,0.349516,-0.122762,-0.183655,-0.073485,12.144166,2.829361,3.752493,1.418415,1.720728,1.600252,1.321938,1.189909,1.115891,1.20284,1.313706,1.254885,1.20993,0.992116,1.192785,0.852015,0.875372,0.808019,0.879617,0.77784,0.718179,0.739316,0.752142,0.667815,0.661633,0.55372,music
0.060007,3.274088,0.098235,0.039253,0.046781,0.01962,0.442527,0.020749,0.013607,0.015966,73.129325,131.306977,0.182494,8.531257,59.111,14.131101,30.60076,0.064698,1.610347,32.966988,21.568796,-4.804179,-12.748972,-4.825035,-5.802218,-3.233769,-3.091231,-2.413418,-2.205585,-1.121035,-0.824213,0.054757,-0.306668,0.109515,0.004994,0.383791,0.095039,0.357356,0.037896,0.183327,0.237463,0.215999,0.049928,0.165307,-0.118068,-0.121287,11.4326,4.306068,1.71302,1.370604,0.926201,0.865231,0.767162,0.814796,0.842113,0.78702,0.81482,0.943647,0.749132,0.718961,0.674026,0.717298,0.653052,0.690905,0.641074,0.675951,0.595946,0.589741,0.586161,0.45647,0.773842,0.660012,music
0.098869,2.285467,0.036062,0.075762,0.082824,0.031067,0.442622,0.043212,0.028954,0.027619,53.438319,107.152713,0.157699,15.020196,44.778818,33.812281,82.823015,0.090198,2.425725,49.396353,3.92775,-6.551326,1.766615,6.053017,1.865582,2.543636,0.992772,2.100102,0.097342,0.303935,0.1666,-0.436182,-0.67198,-0.002614,-0.272394,-0.113415,-0.502774,-0.119659,-0.203254,-0.101265,-0.40602,-0.489521,-0.481605,-0.272658,-0.179956,-0.179164,18.624525,6.618669,5.256898,3.17576,2.624544,1.817043,2.15637,1.706011,1.70292,1.581745,1.802401,1.238093,1.17912,1.163251,1.00314,0.946784,1.052353,1.059347,0.929626,0.742876,0.734366,0.752023,0.686989,0.665427,0.684271,0.716786,music
0.069744,2.910838,0.098689,0.047983,0.055666,0.01883,0.499438,0.063787,0.015615,0.016298,95.611158,197.720155,0.329049,11.355546,65.625664,35.080648,77.288045,0.135042,2.951442,53.194237,25.432936,-10.794889,-2.4931,0.346611,-1.640363,-0.054477,-0.068313,0.022265,-0.335035,0.355522,0.032247,0.729049,0.042033,0.498455,0.096089,-0.038434,-0.137711,0.085984,-0.156195,0.062445,-0.100054,-0.078701,-0.050523,-0.142332,0.030793,0.114032,11.260925,5.866383,5.722546,2.921938,2.319319,1.927327,1.755638,1.870916,1.479314,1.333671,1.238634,1.34558,1.451223,1.299757,1.203772,1.140179,1.086374,0.992048,0.956872,0.964367,0.798375,0.859771,0.883634,0.751766,0.788527,0.681769,music
0.050353,3.409592,0.12782,0.03364,0.039856,0.027995,0.731429,0.041827,0.020065,0.022765,102.538567,180.851938,0.314582,10.510041,49.818217,16.085316,40.55853,0.103374,2.644996,35.899074,18.606805,-12.088261,-10.941236,-2.0362,-0.002813,-4.964451,-3.486388,-2.042161,-2.47348,0.215849,0.143447,1.273963,1.676945,1.27586,1.652305,1.40941,0.732307,-0.33735,0.425684,-0.353276,-0.380549,0.202735,0.104532,0.203423,-0.066412,0.080778,9.52278,2.785134,3.47446,1.76585,1.352959,2.276745,1.2562,1.377434,1.407741,0.871054,0.971414,0.876544,0.91691,0.95082,0.780109,0.89215,0.781048,0.792379,0.789744,0.76178,0.826941,0.588993,0.508744,0.527993,0.573814,0.655995,music
0.124951,3.252811,0.117169,0.082375,0.098754,0.057442,0.561363,0.054101,0.038451,0.04569,106.089502,213.786822,0.353036,9.73227,157.35548,33.278581,72.311377,0.114736,2.435556,140.566598,43.610608,-10.735271,-3.854565,-0.025822,1.295959,-1.592681,-0.787498,-0.324212,-0.245314,0.702744,-0.419549,-0.174214,0.597479,0.407429,0.609494,0.36984,0.066089,0.346624,-0.396002,-0.473133,-0.14306,0.002831,-0.264397,0.159391,0.010316,-0.080361,15.009705,4.735011,3.454603,2.518318,1.926121,2.212928,1.764462,1.276767,1.300105,1.413713,1.222397,1.222571,1.074222,0.969972,1.027934,0.903306,0.86123,0.899985,0.790779,0.839003,0.829338,0.811197,0.771487,0.6091,0.750418,0.726565,music
0.025565,2.67134,0.073377,0.01489,0.017441,0.007574,0.523202,0.047484,0.006835,0.007729,82.36123,175.502326,0.299725,13.468272,22.458433,32.291407,74.902937,0.124533,3.249124,18.058053,-0.123019,-8.678151,-2.450387,-0.155003,-1.086498,-0.599009,-0.302216,0.632936,0.116459,0.196881,-0.581342,-0.149472,-0.524283,-0.031137,-0.036084,0.713315,0.426692,-0.208805,-0.44404,0.125224,-0.039287,-0.143713,0.007091,0.19173,0.004661,-0.081993,20.988855,5.178212,3.8069,2.603162,2.082083,1.503097,1.409393,1.548131,1.408226,1.083926,0.9383,1.058758,1.101275,0.922606,1.152778,0.949728,0.814467,0.704091,0.680166,0.799057,0.663989,0.659908,0.65836,0.5869,0.672449,0.49473,music
0.091495,2.883519,0.066588,0.062604,0.073032,0.037544,0.544916,0.037583,0.026893,0.030063,86.379398,197.724806,0.289009,12.616307,88.124737,28.741038,76.303968,0.121842,2.310318,123.087718,26.121094,-9.73083,-1.39118,1.798849,0.890291,0.112449,-0.76729,0.897557,-0.26998,1.037667,0.332869,0.650364,0.874893,0.204858,0.99717,0.590468,0.429648,0.020499,-0.234163,0.340869,-0.153814,0.007123,-0.001549,-0.001677,-0.147366,-0.090639,14.804359,4.199561,3.566516,2.032805,2.22339,1.480937,1.741839,1.416589,1.251208,1.376865,1.374073,1.214556,1.146548,1.065063,1.00822,0.928709,1.081949,0.961592,1.009803,0.909654,0.830625,0.878613,0.948451,0.644175,0.708767,0.794431,music
0.119757,2.692331,0.061057,0.08602,0.097621,0.054124,0.391179,0.015538,0.038681,0.044188,45.997734,80.243411,0.079825,12.132814,49.814447,7.492072,17.200765,0.02057,2.654664,32.205887,15.170483,5.017799,-8.783917,-2.492289,-2.226727,-3.361794,-3.085507,-2.288825,-1.663475,-0.250282,-0.998722,-1.401711,-1.215484,-0.751613,-0.444461,0.210931,-0.215452,-0.461112,-0.691861,-0.60597,0.00771,-0.292417,-0.417386,0.046865,0.146735,-0.015177,16.266416,2.861749,2.545353,2.131587,1.600562,1.45901,1.437712,1.386932,1.621075,1.918973,1.847415,2.049203,1.984699,1.519734,1.564988,1.855475,1.518322,0.897697,0.975157,1.024485,1.124571,1.024241,0.892886,0.883625,1.187139,0.945797,music
